"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC","AUDI_ACC_PRED"
"3","1",112,"한국","롯데쇼핑㈜롯데엔터테인먼트","코미디","15세이상관람가","0",1.79239168949825,0,"0",397923,105248.771569068
"12","4",92,"독일","기타","애니메이션","전체관람가","0",2.6232492903979,2.99299509843134,"0",397633,100069.838725735
"8","3",110,"일본","씨제이이앤엠(주)","애니메이션","12세이상관람가","1",1.85733249643127,3.03140846425162,"0",395408,43688.3313573574
"8","3",107,"일본","씨제이이앤엠(주)","애니메이션","12세이상관람가","1",2.73798732633343,0,"1",389253,221056.80180144
"3","1",121,"한국","기타","드라마","15세이상관람가","0",2.56466606425209,3.39093510710338,"0",383336,295884.062735628
"1","1",89,"러시아","기타","애니메이션","전체관람가","0",1.80617997398389,3.2817149700273,"0",366442,52924.5544208105
"4","2",128,"미국","워너브러더스 코리아(주)","드라마","12세이상관람가","0",2.32428245529769,0,"1",359899,394396.645399865
"6","2",99,"한국","롯데쇼핑㈜롯데엔터테인먼트","미스터리","15세이상관람가","0",2.35218251811136,3.93656400513527,"0",356342,382831.046274465
"1","1",132,"미국","워너브러더스 코리아(주)","액션","청소년관람불가","0",2.00432137378264,3.2610248339924,"1",344766,303320.530387255
"12","4",124,"미국","기타","뮤지컬","전체관람가","0",2.19312459835446,3.54592532935584,"0",341882,122768.070773464
"6","2",120,"미국","(주)넥스트엔터테인먼트월드(NEW)","어드벤처","12세이상관람가","0",2.84260923961056,4.09436629833613,"0",321550,1205904.80518507
"2","1",118,"미국","기타","드라마","청소년관람불가","0",1.86332286012046,3.07627625540422,"1",315321,57848.2666706173
"8","3",83,"미국","기타","애니메이션","전체관람가","0",1.49136169383427,2.93901977644867,"0",311456,51401.2524232872
"5","2",99,"미국","유니버설픽쳐스인터내셔널 코리아(유)","공포","15세이상관람가","0",1.68124123737559,2.16136800223497,"0",310956,109447.683940329
"2","1",127,"미국","워너브러더스 코리아(주)","SF","12세이상관람가","0",2.23044892137827,3.15503222879097,"0",309729,325570.56349588
"12","4",79,"일본","기타","애니메이션","전체관람가","0",2.19589965240923,3.75511226639507,"0",300477,97541.9887320573
"12","4",97,"일본","씨제이이앤엠(주)","애니메이션","전체관람가","1",2.30535136944662,0,"0",293787,247913.723446089
