OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(train_y),exp(y_pred)
4,94,미국,씨제이이앤엠(주),애니메이션,전체관람가,1,5.40267738187228,9.42875274891449,15.1980006921802,14.3369506890045,3984812,1684451.73500896
13,135,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,1,6.07304453410041,7.58528107863913,15.1925673841316,14.4131922244551,3963220,1817899.41417999
2,128,한국,(주)쇼박스,코미디,15세이상관람가,0,6.71295620067707,0,15.1747461092558,14.4106916355082,3893216,1813359.27387624
40,107,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,1,5.59471137960184,7.65207074611648,15.1734301356157,14.0625469199696,3888096,1280225.66350428
7,124,한국,(주)쇼박스,사극,12세이상관람가,1,5.73657229747919,8.91004576147356,15.169285601338,14.7895597867129,3872015,2648647.7553185
18,135,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0,7.15539630189673,8.74113642290101,15.163436422691,14.7425297477833,3849433,2526965.53552551
20,120,미국,워너브러더스 코리아(주),액션,15세이상관람가,1,5.54126354515843,7.60339933974067,15.1616183996901,14.6603440330827,3842441,2327590.1806165
40,140,한국,씨제이이앤엠(주),사극,15세이상관람가,0,6.56667242980324,9.0835292051098,15.1583469012218,14.8868160765458,3829891,2919188.06762344
20,117,미국,이십세기폭스코리아(주),액션,청소년관람불가,1,5.29330482472449,7.60688453121963,15.1464512874094,14.6082138681173,3784602,2209360.94853058
40,109,한국,(주)쇼박스,범죄,15세이상관람가,0,5.79605775076537,7.29573507274928,15.1432802782634,14.1636521204282,3772620,1416432.74925808
48,114,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,5.74300318780948,7.06646697013696,15.1385943158732,14.0942966755907,3754983,1321524.66280869
23,110,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,0,5.8664680569333,8.7815554585464,15.1209540724543,14.3995462844634,3689325,1793260.9576422
15,136,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1,5.79301360838414,9.19695113485717,15.111124455585,14.4996298885266,3653238,1982025.55736997
1,106,일본,메가박스중앙(주)플러스엠,애니메이션,12세이상관람가,0,7.77148876011762,10.0098275883075,15.1067032675363,13.8784089010446,3637122,1064918.57738632
39,121,미국,워너브러더스 코리아(주),코미디,12세이상관람가,0,4.9416424226093,8.56101867095627,15.0993961538327,14.3100408608354,3610642,1639727.88267546
49,127,미국,판씨네마(주),드라마,12세이상관람가,0,4.64439089914137,7.84971375760487,15.0956643770626,13.1919506389467,3597193,536032.803610831
8,127,한국,(주)와우픽쳐스,드라마,15세이상관람가,1,7.3038432252777,10.7724141030439,15.0926937674655,14.0581452023547,3586523,1274602.85573476
41,127,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,0,5.9427993751267,0,15.0907800579351,14.0845197391527,3579666,1308667.156111
27,117,한국,(주)쇼박스,범죄,청소년관람불가,0,6.20050917404269,7.78613643778307,15.0858672733978,14.6219875347085,3562123,2240002.48836646
2,126,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,0,6.23244801655052,8.40447232135212,15.0711314387352,14.3734076169802,3510017,1746994.80768619
3,100,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,5.67332326717149,0,15.0541575054402,13.3619241442443,3450941,635345.449075143
22,110,한국,(주)쇼박스,액션,15세이상관람가,0,6.90274273715859,7.18538701558042,15.0539262374239,14.322565794325,3450143,1660394.51930095
33,103,미국,판씨네마(주),멜로,15세이상관람가,0,6.11809719804135,7.15148546390474,15.0473311870812,13.0046996123784,3427464,444497.45677489
36,121,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.62671774924902,0,15.0462966514848,14.633622458819,3423920,2266216.95325731
3,120,한국,씨제이이앤엠(주),코미디,12세이상관람가,0,5.77144112313002,8.67060073804555,15.0444575937588,14.4094732967956,3417629,1811151.33335586
28,163,한국,씨제이엔터테인먼트,드라마,청소년관람불가,0,6.51025834052315,0,15.0416784195598,14.4216121489484,3408144,1833270.61133152
12,115,한국,(주)쇼박스,범죄,15세이상관람가,0,5.14166355650266,7.73105314400713,15.0360590238225,14.2591167842097,3389046,1558316.74055781
24,120,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,0,8.11790894238315,0,15.0350730097897,14.2996514631796,3385706,1622780.28774939
21,106,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,5.71373280550937,0,15.0333158507788,14.2812066722041,3379762,1593122.79844861
49,123,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로,15세이상관람가,0,5.69035945432406,0,15.0321236363564,13.339130212239,3375735,621027.232268932
30,89,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,0,5.2040066870768,8.96992349199152,15.016938426687,14.2597819433637,3324861,1559353.61400734
7,107,미국,이십세기폭스코리아(주),액션,청소년관람불가,1,7.22766249872865,9.58884529850156,15.0146304057222,14.5140386797387,3317196,2010790.88896136
38,118,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,0,6.12249280951439,8.76045304631527,15.003428062982,14.311760452135,3280243,1642549.97019943
51,135,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,6.41017488196617,9.55888233268473,15.0014860783805,15.1026363745517,3273879,3622360.2516256
14,137,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1,6.58479139238572,8.93603509656604,14.9934138872596,14.4083565945263,3247558,1809129.94540618
27,125,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1,7.16549347506085,10.2454447193879,14.9908897331192,14.9252621618154,3239371,3033604.7650993
42,90,미국,기타,SF,12세이상관람가,0,6.36647044773144,0,14.9872035294002,12.2009109937418,3227452,198970.329329152
