"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"5","2",115,"한국","롯데쇼핑㈜롯데엔터테인먼트","범죄","15세이상관람가","0",198,2752,"0",2571491
"12","4",116,"한국","롯데쇼핑㈜롯데엔터테인먼트","범죄","15세이상관람가","0",978,24306,"0",2564340
"7","3",131,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",917,0,"1",2539114
"6","2",132,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",191,0,"0",2532306
"6","2",105,"미국","기타","어드벤처","12세이상관람가","0",271,4428,"0",2532051
"8","3",111,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","15세이상관람가","0",115,583,"0",2524086
"8","3",90,"미국","유니버설픽쳐스인터내셔널 코리아(유)","애니메이션","전체관람가","1",244,7356,"0",2517805
"2","1",129,"한국","기타","드라마","12세이상관람가","0",175,484,"0",2516128
"2","1",126,"한국","씨제이이앤엠(주)","범죄","15세이상관람가","0",705,12267,"0",2512572
"12","4",120,"한국","(주)넥스트엔터테인먼트월드(NEW)","멜로","15세이상관람가","0",769,0,"0",2471721
"5","2",97,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",118,4232,"0",2450023
"3","1",117,"한국","기타","미스터리","15세이상관람가","0",142,0,"1",2435211
"8","3",110,"한국","롯데쇼핑㈜롯데엔터테인먼트","스릴러","청소년관람불가","0",297,0,"0",2434099
"2","1",119,"한국","기타","사극","12세이상관람가","1",247,3955,"0",2424330
"2","1",118,"한국","기타","드라마","15세이상관람가","0",270,6797,"0",2420729
"11","4",133,"미국","워너브러더스 코리아(주)","판타지","12세이상관람가","1",220,6057,"0",2414062
"2","1",122,"한국","씨제이이앤엠(주)","미스터리","15세이상관람가","0",117,724,"0",2397792
"9","3",123,"한국","기타","스릴러","15세이상관람가","0",230,0,"0",2393086
"10","4",125,"한국","기타","액션","청소년관람불가","0",679,0,"0",2391963
"10","4",143,"미국","기타","액션","15세이상관람가","1",238,0,"0",2376145
"9","3",103,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","1",426,0,"0",2363955
"8","3",111,"한국","(주)넥스트엔터테인먼트월드(NEW)","스릴러","청소년관람불가","0",231,0,"0",2362906
"6","2",128,"한국","기타","드라마","12세이상관람가","0",857,7265,"0",2359174
"12","4",103,"한국","기타","코미디","12세이상관람가","0",3794,0,"0",2316099
"5","2",121,"미국","이십세기폭스코리아(주)","액션","15세이상관람가","0",502,2016,"0",2315882
"1","1",113,"미국","기타","애니메이션","전체관람가","0",370,2774,"0",2310054
"9","3",92,"프랑스","이십세기폭스코리아(주)","액션","청소년관람불가","1",290,0,"0",2308596
"5","2",106,"한국","기타","스릴러","청소년관람불가","0",184,0,"0",2304487
"1","1",142,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",471,24029,"1",2299732
"8","3",113,"미국","유니버설픽쳐스인터내셔널 코리아(유)","뮤지컬","12세이상관람가","0",121,1122,"0",2285143
"12","4",161,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","1",1014,0,"0",2282744
"6","2",109,"미국","이십세기폭스코리아(주)","액션","15세이상관람가","0",75,0,"0",2282191
"9","3",111,"미국","워너브러더스 코리아(주)","공포","15세이상관람가","1",840,0,"0",2262758
"7","3",93,"미국","기타","애니메이션","전체관람가","1",239,0,"0",2261356
"3","1",151,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",1127,16024,"1",2256913
"3","1",139,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","0",144,853,"1",2254430
"4","2",131,"미국","유니버설픽쳐스인터내셔널 코리아(유)","SF","12세이상관람가","0",426,0,"0",2241687
"12","4",128,"미국","워너브러더스 코리아(주)","액션","15세이상관람가","1",277,0,"0",2239156
"8","3",101,"한국","씨제이이앤엠(주)","SF","15세이상관람가","0",1852,0,"0",2232179
"7","3",93,"한국","롯데쇼핑㈜롯데엔터테인먼트","애니메이션","전체관람가","0",716,0,"1",2199048
"5","2",102,"한국","씨제이이앤엠(주)","스릴러","15세이상관람가","0",235,5113,"0",2192243
