TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
카일 발다/피에르 꼬팽,7,3,30,89,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,스티브 카렐,,182,7863,0,3324861
팀 밀러,2,1,7,107,미국,이십세기폭스코리아(주),액션,청소년관람불가,라이언 레이놀즈,1,1377,14601,0,3317196
김현석,9,3,38,118,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,나문희,0,456,6377,0,3280243
J.J. 에이브럼스,12,4,51,135,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,해리슨 포드,1,608,14170,0,3273879
제임스 완,4,2,14,137,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,빈 디젤,1,724,7601,0,3247558
앨런 테일러,7,3,27,125,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,아놀드 슈왈제네거,1,1294,28154,0,3239371
알폰소 쿠아론,10,4,42,90,미국,기타,SF,12세이상관람가,산드라 블록,0,582,0,0,3227452
박훈정,6,2,26,125,한국,워너브러더스 코리아(주),미스터리,15세이상관람가,김다미,0,79,275,0,3189091
이언희,6,2,24,116,한국,씨제이이앤엠(주),코미디,15세이상관람가,권상우,1,157,760,0,3148038
롭 마샬,5,2,20,137,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,이안 맥쉐인,1,1022,0,1,3130046
조범구,7,3,29,115,한국,씨제이이앤엠(주),코미디,15세이상관람가,이새별,0,414,0,0,3125069
김성수,8,3,33,121,한국,기타,드라마,15세이상관람가,장혁,0,2066,0,0,3119023
존 추,7,3,28,129,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,기타,1,1293,9865,0,3100113
강대규,1,1,4,115,한국,씨제이엔터테인먼트,드라마,12세이상관람가,김윤진,0,800,0,0,3068544
에스펜 샌버그/요아킴 뢰닝,5,2,21,128,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,기타,1,996,12939,0,3049894
이병헌,3,1,13,115,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,김우빈,0,813,27413,0,3044134
앨런 테일러,10,4,44,111,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,크리스 헴스워스,1,717,0,0,3039889
김대우,6,2,22,124,한국,씨제이엔터테인먼트,사극,청소년관람불가,기타,0,195,0,0,3035116
브래드 버드,7,3,29,125,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,크레이그 T. 넬슨,1,152,1400,0,3033052
딘 패리소트,7,3,29,115,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,1,393,0,0,3004647
황인호,12,4,48,114,한국,씨제이이앤엠(주),공포,12세이상관람가,손예진,0,289,0,0,3001530
딘 데블로이스,7,3,30,101,미국,씨제이이앤엠(주),애니메이션,전체관람가,제이 바루첼,1,680,4265,0,3000056
권수경,11,4,47,109,한국,씨제이이앤엠(주),코미디,12세이상관람가,조정석,0,819,25600,0,2982022
곽경택,11,4,46,123,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,청소년관람불가,유오성,1,2140,0,0,2971475
