OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
3,1,12,124.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,1488.0,8022.0,0.0,2931897
7,3,30,99.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,스릴러,15세이상관람가,0.0,119.0,0.0,0.0,2921331
12,4,51,111.0,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,0.0,495.0,0.0,0.0,2897477
6,2,25,107.0,한국,(주)쇼박스,드라마,15세이상관람가,0.0,235.0,9189.0,1.0,2860786
4,2,18,98.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,247.0,1717.0,0.0,2841788
9,3,36,116.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,411.0,6457.0,1.0,2839921
12,4,51,144.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,1.0,891.0,16936.0,0.0,2836774
8,3,34,110.0,한국,메가박스중앙(주)플러스엠,멜로,12세이상관람가,0.0,166.0,2034.0,0.0,2820029
12,4,50,169.0,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,,1074.0,0.0,0.0,2818993
9,3,38,113.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,323.0,2750.0,1.0,2812427
1,1,2,135.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12세이상관람가,0.0,176.0,599.0,0.0,2811757
12,4,50,146.0,미국,워너브러더스 코리아(주),미스터리,전체관람가,,2453.0,0.0,1.0,2809053
1,1,4,107.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0.0,591.0,5065.0,0.0,2801949
7,3,29,106.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,0.0,491.0,6381.0,0.0,2792705
8,3,33,106.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,402.0,0.0,0.0,2773794
10,4,43,119.0,한국,씨제이엔터테인먼트,범죄,청소년관람불가,0.0,111.0,0.0,0.0,2766436
9,3,38,131.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,847.0,35841.0,1.0,2744413
5,2,18,135.0,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1.0,541.0,7337.0,0.0,2735719
9,3,37,121.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,0.0,545.0,0.0,0.0,2731828
11,4,45,119.0,한국,(주)쇼박스,액션,청소년관람불가,0.0,874.0,0.0,0.0,2721903
8,3,34,115.0,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12세이상관람가,,387.0,0.0,0.0,2718227
9,3,39,126.0,미국,이십세기폭스코리아(주),미스터리,12세이상관람가,0.0,150.0,8695.0,1.0,2718158
4,2,13,106.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,240.0,0.0,0.0,2685508
3,1,13,94.0,한국,(주)쇼박스,공포,15세이상관람가,0.0,778.0,744.0,0.0,2675559
10,4,40,122.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,0.0,2820.0,0.0,1.0,2663170
9,3,36,118.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,991.0,9811.0,1.0,2656694
11,4,46,115.0,미국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,1.0,1157.0,0.0,0.0,2654817
9,3,39,119.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,1.0,386.0,3319.0,0.0,2625686
7,3,31,90.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,1.0,199.0,11636.0,0.0,2625572
6,2,23,122.0,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,청소년관람불가,0.0,168.0,0.0,0.0,2621436
6,2,25,150.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,12세이상관람가,,1223.0,16721.0,0.0,2614601
7,3,30,123.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1.0,643.0,13139.0,0.0,2611966
5,2,20,98.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,1.0,354.0,0.0,0.0,2603857
3,1,11,131.0,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,0.0,311.0,2078.0,1.0,2602273
7,3,27,102.0,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,1.0,263.0,5951.0,0.0,2601734
3,1,13,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,1.0,161.0,0.0,0.0,2595625
9,3,39,132.0,한국,씨제이이앤엠(주),범죄,청소년관람불가,0.0,691.0,28898.0,0.0,2594028
5,2,18,115.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,0.0,198.0,2752.0,0.0,2571491
12,4,52,116.0,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,0.0,978.0,24306.0,0.0,2564340
7,3,28,131.0,미국,워너브러더스 코리아(주),액션,12세이상관람가,1.0,917.0,0.0,1.0,2539114
6,2,22,132.0,미국,이십세기폭스코리아(주),액션,12세이상관람가,1.0,191.0,0.0,0.0,2532306
6,2,23,105.0,미국,월트디즈니컴퍼니코리아(주),어드벤처,12세이상관람가,0.0,271.0,4428.0,0.0,2532051
8,3,33,111.0,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,0.0,115.0,583.0,0.0,2524086
8,3,31,90.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,1.0,244.0,7356.0,0.0,2517805
2,1,7,129.0,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,12세이상관람가,0.0,175.0,484.0,0.0,2516128
2,1,6,126.0,한국,씨제이이앤엠(주),범죄,15세이상관람가,0.0,705.0,12267.0,0.0,2512572
12,4,51,120.0,한국,(주)넥스트엔터테인먼트월드(NEW),멜로,15세이상관람가,0.0,769.0,0.0,0.0,2471721
